MRGID,preferredGazetteerName,placeType,gazetteerSource,status,accepted,latitude,longitude,minLatitude,minLongitude,maxLatitude,maxLongitude,boundingBoxWKT,geometryAvailable,geometryCount,geometryURLs,recordURL
3614,Kvarneric,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3614,44.69694444444444,14.586388888888889,,,,,,false,0,,https://www.marineregions.org/mrgid/3614
3496,Langelandssund,Strait,Map of the Danish water,standard,3496,55.083036665823,10.806774098043,,,,,,false,0,,https://www.marineregions.org/mrgid/3496
3622,Lastovski Kanal,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3622,42.83638888888889,16.859444444444446,,,,,,false,0,,https://www.marineregions.org/mrgid/3622
3720,Lauwers,Strait,Oosthoek Times Wereldatlas,standard,3720,53.53333333,6.416666666,,,,,,false,0,,https://www.marineregions.org/mrgid/3720
11015,Lewthwaite Strait,Strait,SCAR Composite Gazetteer,standard,11015,-60.6833333,-45.1166667,,,,,,false,0,,https://www.marineregions.org/mrgid/11015
3286,Lister Dyb,Strait,ASFA thesaurus,standard,3286,55.0673,8.4667,,,,,,false,0,,https://www.marineregions.org/mrgid/3286
2501,Little Belt,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,2501,55.150277777777774,9.869722222222222,,,,,,true,1,https://www.marineregions.org/mrgid/2501/geometries?source=19&attributeValue=71172100,https://www.marineregions.org/mrgid/2501
4323,Luzon Strait,Strait,Wikipedia,standard,4323,21,122,,,,,,true,1,https://www.marineregions.org/mrgid/4323/geometries?source=19&attributeValue=113573963,https://www.marineregions.org/mrgid/4323
10203,"Magnitologov, proliv",Strait,SCAR Composite Gazetteer,standard,10203,-66.2,101.0333333,,,,,,false,0,,https://www.marineregions.org/mrgid/10203
3714,Marsdiep,Strait,Oosthoek Times Wereldatlas,standard,3714,52.977222222222224,4.754722222222222,,,,,,false,0,,https://www.marineregions.org/mrgid/3714
12893,Matha Strait,Strait,SCAR Composite Gazetteer,standard,12893,-66.55,-67.4333333,,,,,,false,0,,https://www.marineregions.org/mrgid/12893
17723,Matochkin Strait,Strait,Aphia,standard,17723,73.38861,55.21556,,,,,,false,0,,https://www.marineregions.org/mrgid/17723
13636,McFarlane Strait,Strait,SCAR Composite Gazetteer,standard,13636,-62.5166667,-59.9333333,,,,,,false,0,,https://www.marineregions.org/mrgid/13636
5403,Menai Strait,Strait,BIOMARE,standard,5403,53.13333333,-4.2,,,,,,false,0,,https://www.marineregions.org/mrgid/5403
32627,Mermaid Strait,Strait,GeoNames,standard,32627,-20.65066,116.49295,,,,,,false,0,,https://www.marineregions.org/mrgid/32627
11309,Minamino-seto Strait,Strait,SCAR Composite Gazetteer,standard,11309,-69.0333333,39.55,,,,,,false,0,,https://www.marineregions.org/mrgid/11309
14933,Mindoro Strait,Strait,Wikipedia,standard,14933,12.333333,120.666667,,,,,,false,0,,https://www.marineregions.org/mrgid/14933
3623,Mljetski Kanal,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3623,42.801944444444445,17.537222222222223,,,,,,false,0,,https://www.marineregions.org/mrgid/3623
3731,Molengat,Strait,GeoNames,standard,3731,52.98248,4.71287,,,,,,false,0,,https://www.marineregions.org/mrgid/3731
9367,Moraine Strait,Strait,SCAR Composite Gazetteer,standard,9367,-78.2,165.8,,,,,,false,0,,https://www.marineregions.org/mrgid/9367
13916,Morton Strait,Strait,SCAR Composite Gazetteer,standard,13916,-62.6833333,-61.2333333,,,,,,false,0,,https://www.marineregions.org/mrgid/13916
3861,Mytilini Strait,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3861,39.250277777777775,26.552777777777777,,,,,,false,0,,https://www.marineregions.org/mrgid/3861
13647,Nakano-seto Strait,Strait,SCAR Composite Gazetteer,standard,13647,-69.0166667,39.55,,,,,,false,0,,https://www.marineregions.org/mrgid/13647
9432,Nelson Strait,Strait,SCAR Composite Gazetteer,standard,9432,-62.35,-59.2833333,,,,,,false,0,,https://www.marineregions.org/mrgid/9432
13015,Nishino-seto Strait,Strait,SCAR Composite Gazetteer,standard,13015,-69.0166667,39.4833333,,,,,,false,0,,https://www.marineregions.org/mrgid/13015
10139,Normanna Strait,Strait,SCAR Composite Gazetteer,standard,10139,-60.6666667,-45.6333333,,,,,,false,0,,https://www.marineregions.org/mrgid/10139
2498,Northern Belt Sea,Strait,ASFA thesaurus,standard,2498,55.9375,10.704722222222221,,,,,,false,0,,https://www.marineregions.org/mrgid/2498
5461,Olgastretet,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,5461,78.546,25.024,,,,,,true,1,https://www.marineregions.org/mrgid/5461/geometries?source=19&attributeValue=76283962,https://www.marineregions.org/mrgid/5461
12930,Orléans Strait,Strait,SCAR Composite Gazetteer,standard,12930,-63.8,-60.1666667,,,,,,false,0,,https://www.marineregions.org/mrgid/12930
4271,Palk Strait,Strait,Wikipedia,standard,4271,9.834722222222222,79.65277777777779,,,,,,true,1,https://www.marineregions.org/mrgid/4271/geometries?source=19&attributeValue=100401202,https://www.marineregions.org/mrgid/4271
2375,Pas de Calais,Strait,Nomenclature des espaces maritimes/List of maritime areas,standard,2375,51.03666666666666,1.548611111111111,49.71788333,0.238905863,51.78156033,2.744909289,"POLYGON ((0.238905863 49.71788333, 2.744909289 49.71788333, 2.744909289 51.78156033, 0.238905863 51.78156033, 0.238905863 49.71788333))",false,0,,https://www.marineregions.org/mrgid/2375
12417,Pendleton Strait,Strait,SCAR Composite Gazetteer,standard,12417,-65.9666667,-66.3666667,,,,,,false,0,,https://www.marineregions.org/mrgid/12417
9418,Penola Strait,Strait,SCAR Composite Gazetteer,standard,9418,-65.1666667,-64.1166667,,,,,,false,0,,https://www.marineregions.org/mrgid/9418
3718,Pinke Gat,Strait,"Gräwe, U.; Flöser, G.; Gerkema, T.; Duran-Matute, M.; Badewien, T.H.; Schulz, E.; Burchard, H. (2016). A numerical model for the entire Wadden Sea: Skill assessment and analysis of hydrodynamics. JGR: Oceans 121: 5231-5251. https://dx.doi.org/10.1002/2016JC011655",standard,3718,53.434306888216,6.0408278546351,,,,,,false,0,,https://www.marineregions.org/mrgid/3718
3551,Piombino Strait,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3551,42.901944444444446,10.46361111111111,,,,,,false,0,,https://www.marineregions.org/mrgid/3551
3669,Porthmos Zakynthou,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3669,37.89138888888889,20.943055555555556,,,,,,false,0,,https://www.marineregions.org/mrgid/3669
10175,Prince Charles Strait,Strait,SCAR Composite Gazetteer,standard,10175,-61.0833333,-54.5833333,,,,,,false,0,,https://www.marineregions.org/mrgid/10175
48990,Qiongzhou Strait,Strait,"Lim, S.-C.; Putchakarn, S.; Thai, M.-Q.; Wang, D.; Huang, Y. M. (2016). Inventory of sponge fauna from the Singapore Strait to Taiwan Strait along the western coastline of the South China Sea. RAFFLES BULLETIN OF ZOOLOGY Supplement. 34: 104-129",standard,48990,20.15,110.266667,,,,,,false,0,,https://www.marineregions.org/mrgid/48990
19445,Queen Charlotte Strait,Strait,Wikipedia,standard,19445,50.8833,-127.35,,,,,,false,0,,https://www.marineregions.org/mrgid/19445
11911,Reynolds Strait,Strait,SCAR Composite Gazetteer,standard,11911,-74.25,-132.1666667,,,,,,false,0,,https://www.marineregions.org/mrgid/11911
5463,Rivalensundet,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,5463,78.815,26.739,,,,,,true,1,https://www.marineregions.org/mrgid/5463/geometries?source=19&attributeValue=76349476,https://www.marineregions.org/mrgid/5463
13276,Rogatka Strait,Strait,SCAR Composite Gazetteer,standard,13276,-66.1,101.0833333,,,,,,false,0,,https://www.marineregions.org/mrgid/13276
17842,Saint Lucia Narrows,Strait,Aphia,standard,17842,-28.383329391479,32.41667175293,,,,,,false,0,,https://www.marineregions.org/mrgid/17842
17847,Sapeh Strait,Strait,Aphia,standard,17847,-8.65,119.3,,,,,,false,0,,https://www.marineregions.org/mrgid/17847
32531,Selat Banka,Strait,GeoNames,standard,32531,-2.33333,105.75,,,,,,false,0,,https://www.marineregions.org/mrgid/32531
21608,Selat Duroa,Strait,GeoNames,standard,21608,-5.56667,132.71667,,,,,,false,0,,https://www.marineregions.org/mrgid/21608
32549,Selat Solor,Strait,GeoNames,standard,32549,-8.4173,123.0863,,,,,,false,0,,https://www.marineregions.org/mrgid/32549
19106,Shelikof Strait,Strait,IMIS,standard,19106,57.39778,-154.87167,,,,,,false,0,,https://www.marineregions.org/mrgid/19106
19656,Shpanberg Strait,Strait,"Aagaard, K., A. T. Roach, and J. D. Schumacher (1985), On the wind-driven variability of the flow through Bering Strait, J. Geophys. Res., 90(C4), 7213–7221, doi:10.1029/JC090iC04p07213",standard,19656,62.87666667,-167.06,,,,,,false,0,,https://www.marineregions.org/mrgid/19656
13461,Stefansson Strait,Strait,SCAR Composite Gazetteer,standard,13461,-69.4333333,-62.4166667,,,,,,false,0,,https://www.marineregions.org/mrgid/13461
3712,Steno Antikythiro,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3712,35.698611111111106,23.45638888888889,,,,,,false,0,,https://www.marineregions.org/mrgid/3712
3713,Steno Karpathou,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3713,35.92222222222222,27.5,,,,,,false,0,,https://www.marineregions.org/mrgid/3713
3331,Strait of Bonifacio,Strait,ASFA thesaurus,standard,3331,41.32027777777778,9.120000000000001,,,,,,true,1,https://www.marineregions.org/mrgid/3331/geometries?source=19&attributeValue=62128182,https://www.marineregions.org/mrgid/3331
24620,Strait of Canso,Strait,Canadian Geographical Names Database (CGND),standard,24620,45.626873,-61.385434,,,,,,true,1,https://www.marineregions.org/mrgid/24620/geometries?source=195&attributeValue=CBRJU,https://www.marineregions.org/mrgid/24620
18821,Strait of Georgia,Strait,Wikipedia,standard,18821,49.49965,-124.00274,,,,,,false,0,,https://www.marineregions.org/mrgid/18821
19454,Strait of Georgia,Strait,,deleted,18821,,,,,,,,false,0,,https://www.marineregions.org/mrgid/19454
22705,Strait of Hormuz,Strait,The SeaVoX Salt and Fresh Water Body Gazetteer,standard,22705,,,25.2732354779,55.1647183406,27.3713372504,57.3419319259,"POLYGON ((55.1647183406 25.2732354779, 57.3419319259 25.2732354779, 57.3419319259 27.3713372504, 55.1647183406 27.3713372504, 55.1647183406 25.2732354779))",true,1,https://www.marineregions.org/mrgid/22705/geometries?source=81&attributeValue=STRAIT+OF+HORMUZ,https://www.marineregions.org/mrgid/22705
19456,Strait of Juan de Fuca,Strait,Wikipedia,standard,19456,48.2899,-124.04,,,,,,false,0,,https://www.marineregions.org/mrgid/19456
9024,Strait of Magellan,Strait,Les Watling,standard,9024,-53.34,-70.67,,,,,,false,0,,https://www.marineregions.org/mrgid/9024
3380,Strait of Otranto,Strait,ASFA thesaurus,standard,3380,40.26083333333333,18.97138888888889,,,,,,true,1,https://www.marineregions.org/mrgid/3380/geometries?source=19&attributeValue=62914598,https://www.marineregions.org/mrgid/3380
3382,Strait of Sicily,Strait,Wikipedia,standard,3382,37,12.1,,,,,,false,0,,https://www.marineregions.org/mrgid/3382
3568,Stretto di Messina,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",altclass,3568,38.151666666666664,15.601388888888888,,,,,,false,0,,https://www.marineregions.org/mrgid/3568
10583,Styles Strait,Strait,SCAR Composite Gazetteer,standard,10583,-66.85,48.5833333,,,,,,false,0,,https://www.marineregions.org/mrgid/10583
4342,Sumba Strait,Strait,Wikipedia,standard,4342,-9.09083333333333,119.95416666666667,,,,,,true,1,https://www.marineregions.org/mrgid/4342/geometries?source=19&attributeValue=133759044,https://www.marineregions.org/mrgid/4342
4337,Sunda Strait,Strait,Wikipedia,standard,4337,-5.91861111111111,105.85972222222222,,,,,,true,1,https://www.marineregions.org/mrgid/4337/geometries?source=19&attributeValue=130744409,https://www.marineregions.org/mrgid/4337
4324,Tatar Strait,Strait,Wikipedia,standard,4324,52.20703125,141.591796875,,,,,,false,0,,https://www.marineregions.org/mrgid/4324
20851,Texelstroom,Strait,"Mosdiertjes / Bryozoa, Hans De Blauwe",standard,20851,53.03333,4.88333,,,,,,false,0,,https://www.marineregions.org/mrgid/20851
3236,The Solent,Strait,ASFA thesaurus,standard,3236,50.780833333333334,-1.33722222222222,50.65532705,-1.789142893,50.94092477,-0.807473241,"POLYGON ((-1.789142893 50.65532705, -0.807473241 50.65532705, -0.807473241 50.94092477, -1.789142893 50.94092477, -1.789142893 50.65532705))",false,0,,https://www.marineregions.org/mrgid/3236
4362,Torres Strait,Strait,Wikipedia,standard,4362,-9.91194444444444,142.19472222222223,,,,,,true,1,https://www.marineregions.org/mrgid/4362/geometries?source=19&attributeValue=144769115,https://www.marineregions.org/mrgid/4362
33631,Tsugaru Strait,Strait,Wikipedia,standard,33631,41.499167,140.615833,,,,,,false,0,,https://www.marineregions.org/mrgid/33631
19116,Unimak Pass,Strait,Wikimapia,standard,19116,54.33361,-164.92056,,,,,,false,0,,https://www.marineregions.org/mrgid/19116
48645,Uraga Channel,Strait,GeoNames,standard,48645,35.19822,139.76772,,,,,,false,0,,https://www.marineregions.org/mrgid/48645
13849,"Uzkij, proliv",Strait,SCAR Composite Gazetteer,standard,13849,-66.2833333,110.5,,,,,,false,0,,https://www.marineregions.org/mrgid/13849
3615,Velebetski Kanal,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3615,44.53361111111111,15.035277777777777,,,,,,false,0,,https://www.marineregions.org/mrgid/3615
3620,Viski Kanal,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3620,43.11888888888889,16.31361111111111,,,,,,false,0,,https://www.marineregions.org/mrgid/3620
13068,Washington Strait,Strait,SCAR Composite Gazetteer,standard,13068,-60.7,-44.9166667,,,,,,false,0,,https://www.marineregions.org/mrgid/13068
3730,Westgat,Strait,Oosthoek Times Wereldatlas,standard,3730,53.46277777777778,6.094722222222222,,,,,,false,0,,https://www.marineregions.org/mrgid/3730
11157,White Strait,Strait,SCAR Composite Gazetteer,standard,11157,-78.2166667,166.8,,,,,,false,0,,https://www.marineregions.org/mrgid/11157
19274,"Yucatán, Canal de",Strait,Wikipedia,standard,19274,21.75,-85.75,,,,,,false,0,,https://www.marineregions.org/mrgid/19274
3616,Zadarski Canal,Strait,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3616,44.055277777777775,15.267222222222223,,,,,,false,0,,https://www.marineregions.org/mrgid/3616
15689,Керченский пр.,Strait,GIS meteorology of Azov and Black Seas author Vladimir Belokopytov MhI NAS Ukraine email:belo(at)vip.sevsky.net,standard,15689,45.3388889,36.6169444,,,,,,false,0,,https://www.marineregions.org/mrgid/15689
15695,Кинбурнский пр.,Strait,GIS meteorology of Azov and Black Seas author Vladimir Belokopytov MhI NAS Ukraine email:belo(at)vip.sevsky.net,standard,15695,46.355000000000004,31.293,,,,,,false,0,,https://www.marineregions.org/mrgid/15695
15733,Ложный Босфор,Strait,GIS meteorology of Azov and Black Seas author Vladimir Belokopytov MhI NAS Ukraine email:belo(at)vip.sevsky.net,standard,15733,41.217,28.386,,,,,,false,0,,https://www.marineregions.org/mrgid/15733
16107,Чонгарский пр.,Strait,GIS meteorology of Azov and Black Seas author Vladimir Belokopytov MhI NAS Ukraine email:belo(at)vip.sevsky.net,standard,16107,45.597,34.344,,,,,,false,0,,https://www.marineregions.org/mrgid/16107
16451,пр.Бол.Джигирк,Strait,GIS meteorology of Azov and Black Seas author Vladimir Belokopytov MhI NAS Ukraine email:belo(at)vip.sevsky.net,standard,16451,46.2828,32.1961,,,,,,false,0,,https://www.marineregions.org/mrgid/16451
16024,пр.Босфор,Strait,GIS meteorology of Azov and Black Seas author Vladimir Belokopytov MhI NAS Ukraine email:belo(at)vip.sevsky.net,standard,16024,40.592,28.580000000000002,,,,,,false,0,,https://www.marineregions.org/mrgid/16024
16396,пр.Желоб,Strait,GIS meteorology of Azov and Black Seas author Vladimir Belokopytov MhI NAS Ukraine email:belo(at)vip.sevsky.net,standard,16396,46.2784,32.1918,,,,,,false,0,,https://www.marineregions.org/mrgid/16396
16025,пр.Тонкий,Strait,GIS meteorology of Azov and Black Seas author Vladimir Belokopytov MhI NAS Ukraine email:belo(at)vip.sevsky.net,standard,16025,46.0945,34.495,,,,,,false,0,,https://www.marineregions.org/mrgid/16025
